Template;Screen Name;Stance;SCM Shop;LoA;World Level;Excluded;Item Set;Armor Type;Rarity;Material;TN Stance;Req. Stat;Icon;Variants
bd_ra_ro_m_d_c_077;Dream Robe;Mage;v_m_bd_ru;;;;;Body;rare;ro;m;int;b_gui_ig_i_a_pos_a7_073;base
bd_ra_ro_m_g_c_001;Clay Tatters;Mage;v_m_bd_ru;;;;;Body;rare;ro;m;int;b_gui_ig_i_a_pos_a7_077;base
bd_ra_ro_m_g_c_002;Dirt Rags;Mage;v_m_bd_ru;;;;;Body;rare;ro;m;int;b_gui_ig_i_a_pos_a7_060;base
bd_ra_ro_m_g_c_005;Solar Cloth;Mage;v_m_bd_ru;;;;;Body;rare;ro;m;int;b_gui_ig_i_a_pos_a7_058;base
bd_ra_ro_m_g_c_005a;Gossamer Linen;Mage;v_m_bd_ru;;;;;Body;rare;ro;m;int;b_gui_ig_i_a_pos_a7_078;base
bd_ra_ro_m_g_c_008;Night Garment;Mage;v_m_bd_ru;;;;;Body;rare;ro;m;int;b_gui_ig_i_a_pos_a7_079;base
bd_ra_ro_m_g_c_012;Night Garment;Mage;v_m_bd_ru;;;;;Body;rare;ro;m;int;b_gui_ig_i_a_pos_a7_070;base
bd_ra_ro_m_g_c_014;Night Garment;Mage;v_m_bd_ru;;;;;Body;rare;ro;m;int;b_gui_ig_i_a_pos_a7_080;base
bd_ra_ro_m_g_c_015;Night Garment;Mage;v_m_bd_ru;;;;;Body;rare;ro;m;int;b_gui_ig_i_a_pos_a7_051;base
bd_ra_ro_m_g_c_018;Astral Cloak;Mage;v_m_bd_ru;;;;;Body;rare;ro;m;int;b_gui_ig_i_a_pos_a7_081;base
bd_ra_ro_m_g_c_020;Astral Cloak;Mage;v_m_bd_ru;;;;;Body;rare;ro;m;int;b_gui_ig_i_a_pos_a7_065;base
bd_ra_ro_m_g_c_021;Astral Cloak;Mage;v_m_bd_ru;;;;;Body;rare;ro;m;int;b_gui_ig_i_a_pos_a7_082;base
bd_ra_ro_m_g_c_023;Astral Cloak;Mage;v_m_bd_ru;;;;;Body;rare;ro;m;int;b_gui_ig_i_a_pos_a7_064;base
bd_ra_ro_m_g_c_024;Astral Cloak;Mage;v_m_bd_ru;;;;;Body;rare;ro;m;int;b_gui_ig_i_a_pos_a7_083;base
bd_ra_ro_m_g_c_026;Astral Cloak;Mage;v_m_bd_ru;;;;;Body;rare;ro;m;int;b_gui_ig_i_a_pos_a7_062;base
bd_ra_ro_m_g_c_029;Astral Cloak;Mage;v_m_bd_ru;;;;;Body;rare;ro;m;int;b_gui_ig_i_a_pos_a7_084;base
bd_ra_ro_m_g_c_031;Blood Coat;Mage;v_m_bd_ru;;;;;Body;rare;ro;m;int;b_gui_ig_i_a_pos_a7_068;base
bd_ra_ro_m_g_c_034;Blood Coat;Mage;v_m_bd_ru;;;;;Body;rare;ro;m;int;b_gui_ig_i_a_pos_a7_085;base
bd_ra_ro_m_g_c_037;Blood Coat;Mage;v_m_bd_ru;;;;;Body;rare;ro;m;int;b_gui_ig_i_a_pos_a7_072;base
bd_ra_ro_m_g_c_039;Blood Coat;Mage;v_m_bd_ru;;;;;Body;rare;ro;m;int;b_gui_ig_i_a_pos_a7_086;base
bd_ra_ro_m_g_c_042;Blood Coat;Mage;v_m_bd_ru;;;;;Body;rare;ro;m;int;b_gui_ig_i_a_pos_a7_087;base
bd_ra_ro_m_g_c_045;Dream Robe;Mage;v_m_bd_ru;;;;;Body;rare;ro;m;int;b_gui_ig_i_a_pos_a7_088;base
bd_ra_ro_m_g_c_046;Dream Robe;Mage;v_m_bd_ru;;;;;Body;rare;ro;m;int;b_gui_ig_i_a_pos_a7_052;base
bd_ra_ro_m_g_c_053;Dream Robe;Mage;v_m_bd_ru;;;;;Body;rare;ro;m;int;b_gui_ig_i_a_pos_a7_069;base
bd_ra_ro_m_g_c_059;Dream Robe;Mage;v_m_bd_ru;;;;;Body;rare;ro;m;int;b_gui_ig_i_a_pos_a7_071;base
bd_ra_ro_m_g_c_065;Dream Robe;Mage;v_m_bd_ru;;;;;Body;rare;ro;m;int;b_gui_ig_i_a_pos_a7_075;base
bd_ra_ro_m_g_c_071;Dream Robe;Mage;v_m_bd_ru;;;;;Body;rare;ro;m;int;b_gui_ig_i_a_pos_a7_076;base
bd_ra_ro_m_g_c_084;Radiant Gown;Mage;v_m_bd_ru;;;;;Body;rare;ro;m;int;b_gui_ig_i_a_pos_a7_063;base
bd_ra_ro_m_g_c_089;Radiant Gown;Mage;v_m_bd_ru;;;;;Body;rare;ro;m;int;b_gui_ig_i_a_pos_a7_056;base
bd_ra_ro_m_g_c_094;Radiant Gown;Mage;v_m_bd_ru;;;;;Body;rare;ro;m;int;b_gui_ig_i_a_pos_a7_057;base
bd_ra_ro_m_g_c_100;Shadow Finery;Mage;v_m_bd_ru;;;;;Body;rare;ro;m;int;b_gui_ig_i_a_pos_a7_074;base
bd_ra_ro_m_g_c_105;Shadow Finery;Mage;v_m_bd_ru;;;;;Body;rare;ro;m;int;b_gui_ig_i_a_pos_a7_066;base
bd_ra_ro_m_g_c_110;Noble Vesture;Mage;v_m_bd_ru;;;;;Body;rare;ro;m;int;b_gui_ig_i_a_pos_a7_053;base
bd_ro_m_d_c_003;Burlap;Mage;v_m_bd;;;;;Body;;ro;m;;b_gui_ig_i_a_pos_a7_010;base
bd_ro_m_d_c_004;Burlap;Mage;v_m_bd;;;;;Body;;ro;m;;b_gui_ig_i_a_pos_a7_012;base
bd_ro_m_d_c_009;Garment;Mage;v_m_bd;;;;;Body;;ro;m;int;b_gui_ig_i_a_pos_a7_020;base
bd_ro_m_d_c_041;Coat;Mage;v_m_bd;;;;;Body;;ro;m;int;b_gui_ig_i_a_pos_a7_004;base
bd_ro_m_d_c_043;Coat;Mage;v_m_bd;;;;;Body;;ro;m;int;b_gui_ig_i_a_pos_a7_005;base
bd_ro_m_d_c_077;Robe;Mage;v_m_bd;;;;;Body;;ro;m;int;b_gui_ig_i_a_pos_a7_026;base
bd_ro_m_g_c_001;Tatters;Mage;v_m_bd;;;;;Body;;ro;m;;b_gui_ig_i_a_pos_a7_030;base
bd_ro_m_g_c_002;Rags;Mage;v_m_bd;;;;;Body;;ro;m;;b_gui_ig_i_a_pos_a7_011;base
bd_ro_m_g_c_005;Cloth;Mage;v_m_bd;;;;;Body;;ro;m;int;b_gui_ig_i_a_pos_a7_009;base
bd_ro_m_g_c_005a;Linen;Mage;v_m_bd;;;;;Body;;ro;m;int;b_gui_ig_i_a_pos_a7_031;base
bd_ro_m_g_c_008;Garment;Mage;v_m_bd;;;;;Body;;ro;m;int;b_gui_ig_i_a_pos_a7_032;base
bd_ro_m_g_c_012;Garment;Mage;v_m_bd;;;;;Body;;ro;m;int;b_gui_ig_i_a_pos_a7_023;base
bd_ro_m_g_c_014;Garment;Mage;v_m_bd;;;;;Body;;ro;m;int;b_gui_ig_i_a_pos_a7_033;base
bd_ro_m_g_c_015;Garment;Mage;v_m_bd;;;;;Body;;ro;m;int;b_gui_ig_i_a_pos_a7_001;base
bd_ro_m_g_c_018;Cloak;Mage;v_m_bd;;;;;Body;;ro;m;int;b_gui_ig_i_a_pos_a7_034;base
bd_ro_m_g_c_020;Cloak;Mage;v_m_bd;;;;;Body;;ro;m;int;b_gui_ig_i_a_pos_a7_016;base
bd_ro_m_g_c_021;Cloak;Mage;v_m_bd;;;;;Body;;ro;m;int;b_gui_ig_i_a_pos_a7_035;base
bd_ro_m_g_c_022;Cloak;Mage;v_m_bd;;;;;Body;;ro;m;int;b_gui_ig_i_a_pos_a7_042;base
bd_ro_m_g_c_023;Cloak;Mage;v_m_bd;;;;;Body;;ro;m;int;b_gui_ig_i_a_pos_a7_015;base
bd_ro_m_g_c_024;Cloak;Mage;v_m_bd;;;;;Body;;ro;m;int;b_gui_ig_i_a_pos_a7_036;base
bd_ro_m_g_c_026;Cloak;Mage;v_m_bd;;;;;Body;;ro;m;int;b_gui_ig_i_a_pos_a7_013;base
bd_ro_m_g_c_029;Cloak;Mage;v_m_bd;;;;;Body;;ro;m;int;b_gui_ig_i_a_pos_a7_037;base
bd_ro_m_g_c_031;Coat;Mage;v_m_bd;;;;;Body;;ro;m;int;b_gui_ig_i_a_pos_a7_021;base
bd_ro_m_g_c_034;Coat;Mage;v_m_bd;;;;;Body;;ro;m;int;b_gui_ig_i_a_pos_a7_038;base
bd_ro_m_g_c_037;Coat;Mage;v_m_bd;;;;;Body;;ro;m;int;b_gui_ig_i_a_pos_a7_025;base
bd_ro_m_g_c_039;Coat;Mage;v_m_bd;;;;;Body;;ro;m;int;b_gui_ig_i_a_pos_a7_039;base
bd_ro_m_g_c_042;Coat;Mage;v_m_bd;;;;;Body;;ro;m;int;b_gui_ig_i_a_pos_a7_040;base
bd_ro_m_g_c_044;Coat;Mage;v_m_bd;;;;;Body;;ro;m;;b_gui_ig_i_a_pos_a7_044;base
bd_ro_m_g_c_045;Robe;Mage;v_m_bd;;;;;Body;;ro;m;int;b_gui_ig_i_a_pos_a7_041;base
bd_ro_m_g_c_046;Robe;Mage;v_m_bd;;;;;Body;;ro;m;int;b_gui_ig_i_a_pos_a7_002;base
bd_ro_m_g_c_053;Robe;Mage;v_m_bd;;;;;Body;;ro;m;int;b_gui_ig_i_a_pos_a7_022;base
bd_ro_m_g_c_059;Robe;Mage;v_m_bd;;;;;Body;;ro;m;int;b_gui_ig_i_a_pos_a7_024;base
bd_ro_m_g_c_063;Robe;Mage;v_m_bd;;;;;Body;;ro;m;int;b_gui_ig_i_a_pos_a7_045;base
bd_ro_m_g_c_065;Robe;Mage;v_m_bd;;;;;Body;;ro;m;int;b_gui_ig_i_a_pos_a7_028;base
bd_ro_m_g_c_067;Robe;Mage;v_m_bd;;;;;Body;;ro;m;int;b_gui_ig_i_a_pos_a7_043;base
bd_ro_m_g_c_071;Robe;Mage;v_m_bd;;;;;Body;;ro;m;int;b_gui_ig_i_a_pos_a7_029;base
bd_ro_m_g_c_084;Gown;Mage;v_m_bd;;;;;Body;;ro;m;int;b_gui_ig_i_a_pos_a7_014;base
bd_ro_m_g_c_089;Gown;Mage;v_m_bd;;;;;Body;;ro;m;int;b_gui_ig_i_a_pos_a7_006;base
bd_ro_m_g_c_094;Gown;Mage;v_m_bd;;;;;Body;;ro;m;int;b_gui_ig_i_a_pos_a7_008;base
bd_ro_m_g_c_100;Finery;Mage;v_m_bd;;;;;Body;;ro;m;int;b_gui_ig_i_a_pos_a7_027;base
bd_ro_m_g_c_105;Finery;Mage;v_m_bd;;;;;Body;;ro;m;int;b_gui_ig_i_a_pos_a7_017;base
bd_ro_m_g_c_110;Vesture;Mage;v_m_bd;;;;;Body;;ro;m;int;b_gui_ig_i_a_pos_a7_003;base
bd_ro_un_merik;Starlight Vesture;Mage;v_m_bd_ru;;;excluded;;Body;;ro;;int;b_gui_ig_i_a_pos_a7_050;
bd_bl_f_g_c_avg;Rigid Leather;Fighter;v_f_bd;;;;;Body;;bl;f;str;b_gui_ig_i_a_pos_a3_001;base, c_str, o_fin
bd_bl_f_g_c_fun;Worn Rigid Leather;Fighter;v_f_bd;;;;;Body;;bl;f;str;b_gui_ig_i_a_pos_a2_055;
bd_bl_f_g_c_low;Cracked Rigid Leather;Fighter;v_f_bd;;;;;Body;;bl;f;str;b_gui_ig_i_a_pos_a2_054;
bd_bl_m_g_c_avg;Waxed Leather;Mage;v_m_bd;;;;;Body;;bl;m;;b_gui_ig_i_a_pos_a2_024;base, c_fin, o_fin
bd_bl_r_g_c_avg;Boiled Leather;Ranger;v_r_bd;;;;;Body;;bl;r;str;b_gui_ig_i_a_pos_a3_002;base, o_fin
bd_le_f_g_c_avg;Thick Leather;Fighter;v_f_bd;;;;;Body;;le;f;;b_gui_ig_i_a_pos_a1_001;base, c_fin, o_fin
bd_le_f_g_c_fun;Crude Leather;Fighter;v_f_bd;;;;;Body;;le;f;;b_gui_ig_i_a_pos_a1_077;
bd_le_f_g_c_low;Worn Leather;Fighter;v_f_bd;;;;;Body;;le;f;;b_gui_ig_i_a_pos_a1_076;
bd_le_m_g_c_avg;Mage Leather;Mage;v_m_bd;;;;;Body;;le;m;;b_gui_ig_i_a_pos_a1_045;base, c_str, o_avg, o_fin
bd_le_r_g_c_avg;Leather Armor;Ranger;v_r_bd;;;;;Body;;le;r;;b_gui_ig_i_a_pos_a1_002;base, o_fin
bd_le_r_g_c_low;Tattered Leather;Ranger;v_r_bd;;;;;Body;;le;r;;b_gui_ig_i_a_pos_a1_018;
bd_ra_bl_f_g_c_str;Rock Pelt;Fighter;v_f_bd_ru;;;;;Body;rare;bl;f;str;b_gui_ig_i_a_pos_a2_071;base, o_fin
bd_ra_bl_m_g_c_fin;Night Leather;Mage;v_m_bd_ru;;;;;Body;rare;bl;m;;b_gui_ig_i_a_pos_a2_060;base, o_fin
bd_ra_bl_r_g_o_fin;Stellar Leather;Ranger;v_r_amr_ru;;;;;Body;rare;bl;r;str;b_gui_ig_i_a_pos_a2_059;base
bd_ra_le_f_g_c_fin;Fused Leather;Fighter;v_f_bd_ru;;;;;Body;rare;le;f;str;b_gui_ig_i_a_pos_a1_059;base
bd_ra_le_m_g_o_avg;Dream Leather;Mage;v_m_bd_ru;;;;;Body;rare;le;m;;b_gui_ig_i_a_pos_a1_058;base
bd_ra_le_r_g_o_fin;Noble Leather;Ranger;v_r_amr_ru;;;;;Body;rare;le;r;str;b_gui_ig_i_a_pos_a1_060;base
bd_ra_sl_m_g_c_avg;Classic Leather;Mage;v_m_bd_ru;;;;;Body;rare;sl;m;;b_gui_ig_i_a_pos_a1_061;base, c_fin, c_str, o_fin, o_str
bd_ra_sl_r_g_c_avg;Marshal Leather;Ranger;v_r_amr_ru;;;;;Body;rare;sl;r;;b_gui_ig_i_a_pos_a2_057;base, c_fin, c_str
bd_sl_f_g_c_avg;Cleated Leather;Fighter;v_f_bd;;;;;Body;;sl;f;str;b_gui_ig_i_a_pos_a2_001;base, c_str, o_fin
bd_sl_f_g_c_fun;Torn Leather;Fighter;v_f_bd;;;;;Body;;sl;f;;b_gui_ig_i_a_pos_a2_056;
bd_sl_m_g_c_avg;Riveted Leather;Mage;v_m_bd;;;;;Body;;sl;m;;b_gui_ig_i_a_pos_a1_046;base, c_fin, c_mag, c_str, o_avg, o_fin, o_str
bd_sl_m_g_c_fun;Weathered Leather;Mage;v_m_bd;;;;;Body;;sl;m;;b_gui_ig_i_a_pos_a2_003;
bd_sl_r_g_c_avg;Studded Leather;Ranger;v_r_bd;;;;;Body;;sl;r;;b_gui_ig_i_a_pos_a2_002;base, c_fin, c_mag, c_str, o_avg, o_fin, o_mag, o_str
bd_un_bl_f_g_c_blood;Lord Hovart's Blood Armor;Fighter;v_f_bd_ru;;;;;Body;unique;bl;f;str;b_gui_ig_i_a_pos_a3_045;base
bd_un_bl_r_leaf;Woodland Leather;Ranger;v_r_amr_ru;;;;;Body;unique;bl;r;str;b_gui_ig_i_a_pos_a2_051;base
bd_un_le_f_pad_avg;Altan's Leather;Fighter;v_f_bd_ru;;;excluded;;Body;unique;le;f;;b_gui_ig_i_a_pos_a1_078;base
bd_un_sl_f_barbarian;Olaf's Studded Leather;Fighter;v_f_bd_ru;;;;;Body;unique;sl;f;str;b_gui_ig_i_a_pos_a1_054;base
bd_ba_f_g_c_avg;Banded Armor;Fighter;v_f_bd;;;;;Body;;ba;f;str;b_gui_ig_i_a_pos_a5_001;base, o_fin, o_mag, o_str
bd_ba_f_g_c_fun;Stiff Banded Armor;Fighter;v_f_bd;;;;;Body;;ba;f;str;b_gui_ig_i_a_pos_a5_004;base
bd_ba_f_g_c_low;Crude Banded Armor;Fighter;v_f_bd;;;;;Body;;ba;f;str;b_gui_ig_i_a_pos_a5_019;
bd_ba_m_g_c_str;Mage Banded Armor;Mage;v_m_bd;;;;;Body;;ba;m;str;b_gui_ig_i_a_pos_a2_020;base
bd_ba_r_g_o_fin;Ranger Banded Armor;Ranger;v_r_bd;;;;;Body;;ba;r;str;b_gui_ig_i_a_pos_a2_016;base
bd_bp_f_g_c_avg;Battle Plate;Fighter;v_f_bd;;;;;Body;;bp;f;str;b_gui_ig_i_a_pos_a6_007;base, c_fin, c_str, o_mag, o_str
bd_bp_f_g_c_fun;Basic Battle Plate;Fighter;v_f_bd;;;;;Body;;bp;f;str;b_gui_ig_i_a_pos_a6_004;
bd_br_f_g_c_avg;Heavy Brigandine;Fighter;v_f_bd;;;;;Body;;br;f;str;b_gui_ig_i_a_pos_a3_004;base, c_str, o_fin
bd_br_f_g_c_low;Haggard Brigandine;Fighter;v_f_bd;;;;;Body;;br;f;str;b_gui_ig_i_a_pos_a3_035;
bd_br_m_g_c_avg;Thin Brigandine;Mage;v_m_bd;;;;;Body;;br;m;;b_gui_ig_i_a_pos_a2_010;base, c_mag, o_fin
bd_br_m_g_c_low;Flimsy Brigandine;Mage;v_m_bd;;;;;Body;;br;m;;b_gui_ig_i_a_pos_a2_011;
bd_br_r_g_c_avg;Brigandine Armor;Ranger;v_r_bd;;;;;Body;;br;r;str;b_gui_ig_i_a_pos_a3_023;base, c_fin, o_mag
bd_fp_f_g_c_avg;Full Plate;Fighter;v_f_bd;;;;;Body;;fp;f;str;b_gui_ig_i_a_pos_a5_017;base, c_str, o_fin, o_mag, o_str
bd_fp_f_g_c_fun;Bulky Full Plate;Fighter;v_f_bd;;;;;Body;;fp;f;str;b_gui_ig_i_a_pos_a5_008;
bd_fp_m_g_o_mag;Thin Plate;Mage;v_m_bd;;;;;Body;;fp;m;str;b_gui_ig_i_a_pos_a5_011;base
bd_fp_r_g_c_avg;Quarter Plate;Ranger;v_r_bd;;;;;Body;;fp;r;str;b_gui_ig_i_a_pos_a5_013;base
bd_pl_f_g_c_avg;Heavy Plate;Fighter;v_f_bd;;;;;Body;;pl;f;str;b_gui_ig_i_a_pos_a5_002;base, c_fin
bd_pl_f_g_c_fun;Common Heavy Plate;Fighter;v_f_bd;;;;;Body;;pl;f;str;b_gui_ig_i_a_pos_a5_021;
bd_pl_f_g_c_low;Dented Heavy Plate;Fighter;v_f_bd;;;;;Body;;pl;f;str;b_gui_ig_i_a_pos_a5_020;
bd_pl_m_g_c_str;Mage Plate;Mage;v_m_bd;;;;;Body;;pl;m;str;b_gui_ig_i_a_pos_a1_024;base
bd_pl_r_g_c_fin;Ranger Plate;Ranger;v_r_bd;;;;;Body;;pl;r;str;b_gui_ig_i_a_pos_a3_013;base, o_str
bd_ra_ba_f_g_o_fin;Fused Steel;Fighter;v_f_bd_ru;;;;;Body;rare;ba;f;str;b_gui_ig_i_a_pos_a5_025;base, o_mag
bd_ra_bp_f_g_c_fin;Stellar Plate;Fighter;v_f_bd_ru;;;;;Body;rare;bp;f;str;b_gui_ig_i_a_pos_a5_023;base, c_str
bd_ra_br_f_g_c_str;Clay Brigandine;Fighter;v_f_bd_ru;;;;;Body;rare;br;f;str;b_gui_ig_i_a_pos_a3_041;base
bd_ra_br_m_g_o_fin;Compact Brigandine;Mage;v_m_bd_ru;;;;;Body;rare;br;m;str;b_gui_ig_i_a_pos_a3_043;base, c_mag
bd_ra_br_r_g_c_avg;Prime Brigandine;Ranger;v_r_amr_ru;;;;;Body;rare;br;r;str;b_gui_ig_i_a_pos_a3_042;base, c_fin
bd_ra_fp_f_g_o_fin;Cardinal Plate;Fighter;v_f_bd_ru;;;;;Body;rare;fp;f;str;b_gui_ig_i_a_pos_a5_022;base, o_str
bd_ra_fp_r_g_c_avg;Imperial Plate;Ranger;v_r_amr_ru;;;;;Body;rare;fp;r;str;b_gui_ig_i_a_pos_a5_024;base
bd_un_ba_f_g_skeleton_captain;Ancient Banded;Fighter;v_f_bd_ru;;;excluded;;Body;unique;ba;f;str;b_gui_ig_i_a_pos_a5_026;base
bd_un_br_f_bone;Bone Plate;Fighter;v_f_bd_ru;;;;;Body;unique;br;f;str;b_gui_ig_i_a_pos_a6_010;base
bd_un_br_f_copper;Copper Plate;Fighter;v_f_bd_ru;;;;;Body;unique;br;f;str;b_gui_ig_i_a_pos_a3_031;base
bd_un_br_f_d_c_str;Cirene Scale;Fighter;v_f_bd_ru;;;;;Body;unique;br;f;str;b_gui_ig_i_a_pos_a2_021;base
bd_un_br_f_spider;Black Widow Brigandine;Fighter;v_f_bd_ru;;;;;Body;unique;br;f;str;b_gui_ig_i_a_pos_a1_053;base
bd_un_br_r_d_o_str;Plate Coat;Ranger;v_r_amr_ru;;;;;Body;unique;br;r;str;b_gui_ig_i_a_pos_a4_009;base
bd_un_fp_f_g_c_mag;Magical Plate;Fighter;v_f_bd_ru;;;;;Body;unique;fp;f;str;b_gui_ig_i_a_pos_a5_006;base, o_mag
bd_un_pl_f_crystal;Crystal Plate;Fighter;v_f_bd_ru;;;;;Body;unique;pl;f;str;b_gui_ig_i_a_pos_a6_009;base
bd_un_pl_f_g_c_avg;Solid Plate;Fighter;v_f_bd_ru;;;;;Body;unique;pl;f;str;b_gui_ig_i_a_pos_a3_016;base, c_fin
bd_un_pl_f_g_c_fun;Standard Plate;Fighter;v_f_bd_ru;;;;;Body;unique;pl;f;str;b_gui_ig_i_a_pos_a3_014;base
bo_bo_br_f_g_c_avg;Brigandine Boots;Fighter;v_f_bo;;;;;Boots;;br;f;str;b_gui_ig_i_a_boot_004;base, c_fin, c_mag, c_str, o_avg, o_fin, o_mag, o_str
bo_bo_ch_f_g_c_avg;Chain Boots;Fighter;v_f_bo;;;;;Boots;;ch;f;str;b_gui_ig_i_a_boot_006;base, c_fin, c_mag, c_str, o_avg, o_fin, o_mag, o_str
bo_bo_le_f_g_c_avg;Leather Boots;Fighter;v_f_bo;;;;;Boots;;le;f;;b_gui_ig_i_a_boot_001;base, c_fin, c_mag, c_str, o_avg, o_fin, o_mag, o_str
bo_bo_le_f_g_c_healthy;Healthy Boots;Fighter;v_f_bo_ru;;;excluded;;Boots;;le;f;;b_gui_ig_i_a_boot_040;
bo_bo_le_f_g_c_satin;Satin Boots;Mage;v_m_hgb_ru;;;excluded;;Boots;;le;f;int;b_gui_ig_i_a_boot_040;
bo_bo_le_light;Light Boots;;x_any;;;excluded;;Boots;;le;;;b_gui_ig_i_a_boot_068;
bo_bo_sc_f_g_c_avg;Scale Boots;Fighter;v_f_bo;;;;;Boots;;sc;f;str;b_gui_ig_i_a_boot_005;base, c_fin, c_mag, c_str, o_avg, o_fin, o_mag, o_str
bo_bo_sl_f_g_c_avg;Studded Leather Boots;Fighter;v_f_bo;;;;;Boots;;sl;f;str;b_gui_ig_i_a_boot_010;base, c_fin, c_mag, c_str, o_avg, o_fin, o_mag, o_str
bo_gr_ba_f_g_c_avg;Banded Greaves;Fighter;v_f_bo;;;;;Boots;;ba;f;str;b_gui_ig_i_a_boot_008;base, c_fin, c_mag, c_str, o_avg, o_fin, o_mag, o_str
bo_gr_bl_f_g_c_avg;Boiled Leather Greaves;Fighter;v_f_bo;;;;;Boots;;bl;f;str;b_gui_ig_i_a_boot_018;base, c_fin, c_mag, c_str, o_avg, o_fin, o_mag, o_str
bo_gr_fp_f_g_c_avg;Full Plate Greaves;Fighter;v_f_bo;;;;;Boots;;fp;f;str;b_gui_ig_i_a_boot_009;base, c_fin, c_mag, c_str, o_avg, o_fin, o_mag, o_str
bo_ra_bo_br_f_g_c_fin;Sporting Boots;Fighter;v_f_bo_ru;;;;;Boots;rare;br;f;str;b_gui_ig_i_a_boot_081;base, c_mag, o_fin
bo_ra_bo_ch_f_g_c_fin;Kicker Boots;Fighter;v_f_bo_ru;;;;;Boots;rare;ch;f;str;b_gui_ig_i_a_boot_087;base, c_mag, o_fin, o_str
bo_ra_bo_le_f_g_c_fin;Ready Boots;Fighter;v_f_bo_ru;;;;;Boots;rare;le;f;;b_gui_ig_i_a_boot_076;base, o_fin
